,hex8,avg_centrality,lat,lng,walk,transit,bike
0,882a100007fffff,0.002456614829839982,40.852910836401406,-73.79031376038513,53,37.0,55
1,882a100021fffff,0.00033865341725487536,40.857656179014,-73.81192709882109,3,63.0,44
2,882a100023fffff,0.00033865341725487536,40.84977742626076,-73.80950292368898,4,36.0,27
3,882a100025fffff,0.001833333024319859,40.86002747391818,-73.82273555119615,49,85.0,68
4,882a100027fffff,0.001163785156121913,40.85214867781109,-73.82030941693367,24,84.0,59
5,882a100029fffff,0.0033213953684922246,40.86316341287021,-73.80354286988639,6,35.0,52
6,882a10002dfffff,0.0018178984956051386,40.86553566907749,-73.81435209323601,4,67.0,50
7,882a100035fffff,0.00033865341725487536,40.84189941105498,-73.80707956743318,2,31.0,26
8,882a100039fffff,0.0011138226842461125,40.84503217170127,-73.78789350278213,56,37.0,44
9,882a10003bfffff,0.00015941937119675457,40.837154244997684,-73.78547406271932,41,37.0,33
10,882a1000a3fffff,0.0,40.79464682157766,-73.79255660357354,13,49.0,38
11,882a1000a7fffff,0.0006087053156406022,40.797017763364344,-73.80334940159503,55,43.0,43
12,882a1000adfffff,0.00016338108519269777,40.81039473044439,-73.79739432305362,21,42.0,33
13,882a1000b1fffff,0.0005034493491440865,40.78440216549685,-73.77934931025457,68,55.0,56
14,882a1000b3fffff,0.00171993150403715,40.77653010500693,-73.7769344432943,75,57.0,51
15,882a1000b5fffff,0.0004747384060248222,40.786773975830336,-73.79013896809366,35,53.0,54
16,882a1000b7fffff,0.0008362505759718494,40.77890186952139,-73.78772214824798,51,55.0,42
17,882a1000bdfffff,0.00010868781987889187,40.792274965648645,-73.78176499218353,31,51.0,56
18,882a100101fffff,0.018281579329347104,40.875015508443674,-73.8576008691374,82,85.0,74
19,882a100103fffff,0.018014508690656173,40.86713584855748,-73.85516803406857,85,81.0,71
20,882a100105fffff,0.014473509825611876,40.87738317005965,-73.8684160308666,90,100.0,72
21,882a100107fffff,0.012830452254075165,40.86950346884012,-73.8659812350277,93,94.0,84
22,882a100109fffff,0.010991171670450304,40.88052728166654,-73.84921859017174,77,78.0,81
23,882a10010bfffff,0.013380797607087862,40.87264692716565,-73.84678689393489,93,81.0,50
24,882a10010dfffff,0.007348693173424177,40.882895904501346,-73.8600345265709,85,91.0,72
25,882a100111fffff,0.0061087045200326415,40.856888427592885,-73.84192596614102,77,74.0,80
26,882a100113fffff,0.011097063705759773,40.84901028299649,-73.83949673376893,64,88.0,90
27,882a100115fffff,0.01012252503002192,40.85925692508074,-73.85273602095643,76,83.0,78
28,882a100117fffff,0.023540787992823428,40.85137873825122,-73.85030482939324,90,81.0,73
29,882a100119fffff,0.014450869192777275,40.86239785072476,-73.83354519157834,76,81.0,62
30,882a10011bfffff,0.010614676455049855,40.85451901171241,-73.83111709794215,83,91.0,86
31,882a10011dfffff,0.012948686377286956,40.864767309061804,-73.84435601939387,87,79.0,56
32,882a100121fffff,0.018062402576687456,40.874235950280365,-73.88761119349822,92,100.0,78
